STATE,CITY,natural_disaster_score
ALABAMA,Abanda,22
ALABAMA,Abbeville,19
ALABAMA,Adamsville,20
ALABAMA,Akron,22
ALABAMA,Alabaster,18
ALABAMA,Albertville,20
ALABAMA,Alexander City,20
ALABAMA,Alexandria,22
ALABAMA,Aliceville,17
ALABAMA,Allgood,18
ALABAMA,Altoona,22
ALABAMA,Anderson,18
ALABAMA,Anniston,18
ALABAMA,Arab,20
ALABAMA,Ardmore,19
ALABAMA,Argo,18
ALABAMA,Ariton,21
ALABAMA,Ashford,20
ALABAMA,Ashville,17
ALABAMA,Athens,19
ALABAMA,Atmore,21
ALABAMA,Attalla,21
ALABAMA,Auburn,17
ALABAMA,Autaugaville,19
ALABAMA,Avon,20
ALABAMA,Axis,16
ALABAMA,Baileyton,19
ALABAMA,Bakerhill,17
ALABAMA,Ballplay,21
ALABAMA,Banks,20
ALABAMA,Bay Minette,19
ALABAMA,Bayou La Batre,16
ALABAMA,Belle Fontaine,16
ALABAMA,Berlin,18
ALABAMA,Bessemer,18
ALABAMA,Billingsley,22
ALABAMA,Birmingham,17
ALABAMA,Black,19
ALABAMA,Blountsville,19
ALABAMA,Blue Ridge,22
ALABAMA,Blue Springs,21
ALABAMA,Boaz,21
ALABAMA,Boligee,22
ALABAMA,Bon Air,21
ALABAMA,Bon Secour,18
ALABAMA,Brantleyville,19
ALABAMA,Brent,22
ALABAMA,Brewton,19
ALABAMA,Bridgeport,16
ALABAMA,Brighton,18
ALABAMA,Bristow Cove,20
ALABAMA,Brook Highland,18
ALABAMA,Brookside,22
ALABAMA,Brookwood,20
ALABAMA,Brundidge,16
ALABAMA,Calera,22
ALABAMA,Calvert,17
ALABAMA,Camp Hill,19
ALABAMA,Carbon Hill,16
ALABAMA,Carlisle-Rockledge,19
ALABAMA,Carrollton,21
ALABAMA,Center Point,17
ALABAMA,Centreville,17
ALABAMA,Chatom,16
ALABAMA,Chelsea,17
ALABAMA,Cherokee,20
ALABAMA,Chickasaw,17
ALABAMA,Childersburg,19
ALABAMA,Choccolocco,19
ALABAMA,Chunchula,22
ALABAMA,Citronelle,19
ALABAMA,Clanton,22
ALABAMA,Clay,19
ALABAMA,Clayhatchee,20
ALABAMA,Clayton,22
ALABAMA,Cleveland,18
ALABAMA,Clio,21
ALABAMA,Coaling,16
ALABAMA,Coats Bend,19
ALABAMA,Coffee Springs,17
ALABAMA,Coker,19
ALABAMA,Collinsville,17
ALABAMA,Colony,21
ALABAMA,Columbia,21
ALABAMA,Columbiana,21
